PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,MARKETINGCATEGORYNAME,LABELERNAME,SUBSTANCENAME,ACTIVEINGREDIENTSINFO,DEASCHEDULE,NDCPACKAGECODE,PACKAGEDESCRIPTION,REPORTINGPERIOD
69374-906,HUMAN COMPOUNDED DRUG,Sodium Citrate Solution 4% (40mg/mL),Sodium Citrate 4% 40mg/mL (200mg/5mL),"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Nephron Sterile Compounding Center, LLC",SODIUM CITRATE,40 mg/1 mL,,69374-906-05,"6 CARTON in 1 CASE (69374-906-05)  > 5 SYRINGE, PLASTIC in 1 CARTON > 5 mL in 1 SYRINGE, PLASTIC",2022-2
71266-9010,HUMAN COMPOUNDED DRUG,Phenylephrine HCl,Phenylephrine HCl,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,PHENYLEPHRINE HYDROCHLORIDE,.1 mg/1 mL,,71266-9010-2,"5 mL in 1 SYRINGE, PLASTIC (71266-9010-2) ",2023-1
71266-9032,HUMAN COMPOUNDED DRUG,Phenylephrine HCl,Phenylephrine HCl,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,PHENYLEPHRINE HYDROCHLORIDE,.04 mg/1 mL,,71266-9032-1,"10 mL in 1 SYRINGE, PLASTIC (71266-9032-1) ",2022-2
71266-5025,HUMAN COMPOUNDED DRUG,Norepinephrine Bitartrate,Norepinephrine Bitartrate,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,NOREPINEPHRINE BITARTRATE,64 ug/1 mL,,71266-5025-2,250 mL in 1 BAG (71266-5025-2) ,2023-1
70092-009,HUMAN COMPOUNDED DRUG,Labetalol HCl PF 5 mg/ml 4 ml-5 ml syr,Labetalol HCl PF 5 mg/ml 4 ml-5 ml syrLabetalol HCl PF 5 mg/ml 4 ml-5 ml syr,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",LABETALOL HYDROCHLORIDE,20 mg/4 mL,,70092-009-44,"4 mL in 1 SYRINGE, PLASTIC (70092-009-44) ",2023-1
72627-3100,HUMAN COMPOUNDED DRUG,Benzocaine/Lidocaine/Tetracaine,Benzocaine/Lidocaine/Tetracaine,CREAM,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Empower Pharmacy,LIDOCAINE; BENZOCAINE; TETRACAINE,60 mg/1 g; 200 mg/1 g; 60 mg/1 g,,72627-3100-1,"100 g in 1 BOTTLE, PUMP (72627-3100-1) ",2023-1
71266-6286,HUMAN COMPOUNDED DRUG,Lidocaine and Epinephrine and Tetracaine,Lidocaine and Epinephrine and Tetracaine,SOLUTION,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,TETRACAINE HYDROCHLORIDE; LIDOCAINE HYDROCHLORIDE; EPINEPHRINE,5 mg/1 mL; 40 mg/1 mL; .5 mg/1 mL,,71266-6286-3,3 mL in 1 SYRINGE (71266-6286-3) ,2023-1
73198-069,HUMAN COMPOUNDED DRUG,Arginine 200mg/ml,Arginine 200mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,ARGININE,200 mg/1 mL,,73198-069-30,"30 mL in 1 VIAL, MULTI-DOSE (73198-069-30) ",2023-1
71506-034,HUMAN COMPOUNDED DRUG,Succinylcholine Chloride,Succinylcholine Chloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fresenius Kabi Compounding LLC DBA Fagron Sterile Services,SUCCINYLCHOLINE CHLORIDE,100 mg/5 mL,,71506-034-05,5 mL in 1 SYRINGE (71506-034-05) ,2023-2
71286-6010,HUMAN COMPOUNDED DRUG,Rocuronium 10mg/ml,Rocuronium 10mg/ml,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",ROCURONIUM BROMIDE,10 mg/1 mL,,71286-6010-1,5 mL in 1 SYRINGE (71286-6010-1) ,2023-2
73198-073,HUMAN COMPOUNDED DRUG,Acetyl-cysteine 200mg/ML,Acetyl-cysteine 200mg/ML,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,ACETYLCYSTEINE,200 mg/1 mL,,73198-073-30,"30 mL in 1 VIAL, MULTI-DOSE (73198-073-30) ",2023-1
71170-020,HUMAN COMPOUNDED DRUG,Succinylcholine Cl 100 mg per 5 mL Syringe (20 mg/mL),Succinylcholine Cl 100 mg per 5 mL Syringe (20 mg/mL),"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Apollo Care, LLC",SUCCINYLCHOLINE CHLORIDE,20 mg/1 mL,,71170-020-05,"5 mL in 1 SYRINGE, PLASTIC (71170-020-05) ",2024-1
71285-0422,HUMAN COMPOUNDED DRUG,Trophamine 4% / Dextrose 10% With Calcium Gluconate 3.75mEq and Heparin 125 units 250ml in 250ml bag,Trophamine 4% / Dextrose 10% With Calcium Gluconate 3.75mEq and Heparin 125 units 250ml in 250ml bag,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",LYSINE ACETATE; SERINE; GLUTAMIC ACID; TYROSINE; N-ACETYLTYROSINE; THREONINE; CYSTEINE HYDROCHLORIDE; HISTIDINE; ARGININE; TAURINE; DEXTROSE MONOHYDRATE; CALCIUM GLUCONATE MONOHYDRATE; LEUCINE; METHIONINE; PROLINE; ASPARTIC ACID; ISOLEUCINE; ALANINE; GLYCINE; PHENYLALANINE; TRYPTOPHAN; VALINE; HEPARIN SODIUM,1.2 g/250 mL; .38 g/250 mL; .5 g/250 mL; .044 g/250 mL; .24 g/250 mL; .42 g/250 mL; .024 g/250 mL; .48 g/250 mL; 1.2 g/250 mL; .025 g/250 mL; 25 g/250 mL; 3.75 meq/250 mL; 1.4 g/250 mL; .34 g/250 mL; .68 g/250 mL; .32 g/250 mL; .82 g/250 mL; .54 g/250 mL; .36 g/250 mL; .48 g/250 mL; .2 g/250 mL; .78 g/250 mL; 125 U/250 mL,,71285-0422-1,250 mL in 1 BAG (71285-0422-1) ,2023-2
73177-157,HUMAN COMPOUNDED DRUG,Furosemide,Furosemide,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,FUROSEMIDE,10 mg/1 mL,,73177-157-03,"10 mL in 1 SYRINGE, PLASTIC (73177-157-03) ",2023-2
72055-002,HUMAN COMPOUNDED DRUG,Neostigmine Methylsulfate,Neostigmine Methylsulfate,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Baycare Integrated Service Center, LLC /dba BayCare Central Pharmacy",NEOSTIGMINE METHYLSULFATE,4 mg/4 mL,,72055-002-01,"4 mL in 1 SYRINGE, PLASTIC (72055-002-01) ",2024-1
63037-139,HUMAN COMPOUNDED DRUG,Neostigmine Methylsulfate,Neostigmine Methylsulfate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hikma Injectables USA Inc.,NEOSTIGMINE METHYLSULFATE,5 mg/5 mL,,63037-139-25,"5 mL in 1 SYRINGE, PLASTIC (63037-139-25) ",2024-1
69761-151,HUMAN COMPOUNDED DRUG,Estradiol 15 mg,Estradiol 15 mg,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Qualgen LLC,ESTRADIOL,15 mg,,69761-151-01,"1 PELLET, IMPLANTABLE in 1 VIAL (69761-151-01) ",2022-2
73693-387,HUMAN COMPOUNDED DRUG,TESTOSTERONE 50 MG,TESTOSTERONE 50 MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),FARMAKEIO OUTSOURCING LLC,TESTOSTERONE,50 mg,CIII,73693-387-01,"1 PELLET, IMPLANTABLE in 1 POUCH (73693-387-01) ",2023-2
73693-382,HUMAN COMPOUNDED DRUG,"TESTOSTERONE, TRIAMCINOLONE 87.5MG, 17.5MCG","TESTOSTERONE, TRIAMCINOLONE 87.5MG, 17.5MCG","PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),FARMAKEIO OUTSOURCING LLC,TESTOSTERONE; TRIAMCINOLONE ACETONIDE,87.5 mg; 17.5 ug,CIII,73693-382-01,"1 PELLET, IMPLANTABLE in 1 POUCH (73693-382-01) ",2023-1
70168-0124,HUMAN COMPOUNDED DRUG,Testo200mgCHOL BLNT2,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,200 mg,CIII,70168-0124-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0124-1) ",2023-1
70713-033,HUMAN COMPOUNDED DRUG,TESTOSTERONE SA2 62.5MG,TESTOSTERONE SA2 62.5MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",TESTOSTERONE,62.5 mg,CIII,70713-033-01,"1 PELLET, IMPLANTABLE in 1 BLISTER PACK (70713-033-01) ",2023-1
72627-2201,HUMAN COMPOUNDED DRUG,Testosterone,Testosterone,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Empower Pharmacy,1-TESTOSTERONE,50 mg,CIII,72627-2201-9,"10 AMPULE in 1 BOX (72627-2201-9)  > 1 PELLET, IMPLANTABLE in 1 AMPULE (72627-2201-1) ",2022-2
73271-0754,HUMAN COMPOUNDED DRUG,TESTOSTERONE/ANASTRAZOLE 75 MG/4 MG,TESTOSTERONE/ANASTRAZOLE 75 MG/4 MG,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Right Value Drug Stores llc dba Carie Boyd's Prescription Shop,ANASTROZOLE; TESTOSTERONE,4 mg; 75 mg,CIII,73271-0754-1,1 PELLET in 1 VIAL (73271-0754-1) ,2022-2
71285-6045,HUMAN COMPOUNDED DRUG,Oxytocin 60units added to NS,Oxytocin 60units added to NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",OXYTOCIN,60 [USP'U]/1000 mL,,71285-6045-1,1000 mL in 1 BAG (71285-6045-1) ,2023-1
72196-7022,HUMAN COMPOUNDED DRUG,Heparin 4000units added to NS,Heparin 4000units added to NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",HEPARIN SODIUM,4000 U/1000 mL,,72196-7022-1,1000 mL in 1 BAG (72196-7022-1) ,2023-1
71506-017,HUMAN COMPOUNDED DRUG,Vancomycin Hydrochloride,Vancomycin Hydrochloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fresenius Kabi Compounding LLC DBA Fagron Sterile Services,VANCOMYCIN HYDROCHLORIDE,1.75 g/500 mL,,71506-017-59,500 mL in 1 BAG (71506-017-59) ,2023-2
71266-8240,HUMAN COMPOUNDED DRUG,"Tropicamide 1%, Cyclopentolate 1%, Phenylephrine 2.5%, Ketorolac 0.5%","Tropicamide 1%, Cyclopentolate 1%, Phenylephrine 2.5%, Ketorolac 0.5%",SOLUTION,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,PHENYLEPHRINE HYDROCHLORIDE; KETOROLAC TROMETHAMINE; TROPICAMIDE; CYCLOPENTOLATE HYDROCHLORIDE,25 mg/1 mL; 5 mg/1 mL; 10 mg/1 mL; 10 mg/1 mL,,71266-8240-1,.5 mL in 1 SYRINGE (71266-8240-1) ,2023-1
79926-001,HUMAN COMPOUNDED DRUG,Cyclosporine,Cyclosporine,SOLUTION/ DROPS,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wedgewood Connect, LLC",CYCLOSPORINE,10 mg/1 mL,,79926-001-01,"15 mL in 1 BOTTLE, DROPPER (79926-001-01) ",2023-1
69194-978,HUMAN COMPOUNDED DRUG,978 PHENYLEPHRINE HCL 20MG/250ML,PHENYLEPHRINE HCL,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Pine Pharmaceuticals LLC,PHENYLEPHRINE HYDROCHLORIDE,20 mg/250 mL,,69194-978-10,10 BAG in 1 CASE (69194-978-10)  > 250 mL in 1 BAG (69194-978-01) ,2023-2
71449-130,HUMAN COMPOUNDED DRUG,Midazolam Hydrochloride,Midazolam Hydrochloride,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Denver Solutions, LLC dba Leiters Health",MIDAZOLAM HYDROCHLORIDE,5 mg/1 mL,CIV,71449-130-32,"5 SYRINGE, PLASTIC in 1 CONTAINER (71449-130-32)  > 30 mL in 1 SYRINGE, PLASTIC",2023-2
26436-5526,HUMAN COMPOUNDED DRUG,Combo Drops,"Cyclopentaloate 2%, Phenyephrine 2.5%, Tropicamide 0.5%",SOLUTION/ DROPS,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,"PHENYLEPHRINE HYDROCHLORIDE, (+/-)-; TROPICAMIDE; CYCLOPENTOLATE",25 mg/1 mL; 5 mg/1 mL; 5 mg/1 mL,,26436-5526-0,"1 mL in 1 BOTTLE, DROPPER (26436-5526-0) ",2024-1
70004-300,HUMAN COMPOUNDED DRUG,Hydromorphone 0.2 mg/mL in 0.9% Sodium Chloride,Hydromorphone 0.2 mg/mL in 0.9% Sodium Chloride,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"SCA Pharmaceuticals, LLC",HYDROMORPHONE HYDROCHLORIDE,.2 mg/1 mL,CII,70004-300-63,100 mL in 1 BAG (70004-300-63) ,2023-1
65302-528,HUMAN COMPOUNDED DRUG,"Albuterol Sulfate, 0.5%","Albuterol Sulfate, 0.5%",SOLUTION,RESPIRATORY (INHALATION),OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),The Ritedose Corporation,ALBUTEROL SULFATE,5 mg/1 mL,,65302-528-15,15 mL in 1 VIAL (65302-528-15) ,2023-2
70004-433,HUMAN COMPOUNDED DRUG,Ketamine 50 mg/mL,Ketamine 50 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"SCA Pharmaceuticals, LLC",KETAMINE HYDROCHLORIDE,50 mg/1 mL,CIII,70004-433-05,1 mL in 1 SYRINGE (70004-433-05) ,2022-2
72682-6858,HUMAN COMPOUNDED DRUG,PlenishIV Nutrient Cocktail 50mL,PlenishIV Nutrient Cocktail 50mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),AnazaoHealth Corporation,PYRIDOXINE HYDROCHLORIDE; MAGNESIUM CHLORIDE; DEXPANTHENOL; CALCIUM GLUCONATE; THIAMINE HYDROCHLORIDE; NIACINAMIDE; CYANOCOBALAMIN; RIBOFLAVIN,2.7 mg/1 mL; 10.5 mg/1 mL; 6.6 mg/1 mL; 1.3 mg/1 mL; 75 mg/1 mL; 2.6 mg/1 mL; .03 mg/1 mL; .05 mg/1 mL,,72682-6858-5,50 mL in 1 VIAL (72682-6858-5) ,2022-2
72682-8218,HUMAN COMPOUNDED DRUG,Testosterone 100mg/Anastrozole 8mg Pellet,Testosterone 100mg/Anastrozole 8mg Pellet,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),AnazaoHealth Corporation,ANASTROZOLE; TESTOSTERONE,1 mg/1 mg; 1 mg/1 mg,CIII,72682-8218-1,1 mg in 1 VIAL (72682-8218-1) ,2024-1
73198-040,HUMAN COMPOUNDED DRUG,AT-6,Papaverine-40mg/Phentolamine-4mg/Alprostadil 0.3mcg/ML,"INJECTION, SOLUTION",INTRACAVERNOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,PHENTOLAMINE MESYLATE; ATROPINE SULFATE; PAPAVERINE HYDROCHLORIDE,4 mg/1 mL; .3 mg/1 mL; 40 mg/1 mL,,73198-040-10,"10 mL in 1 VIAL, MULTI-DOSE (73198-040-10) ",2022-2
73198-027,HUMAN COMPOUNDED DRUG,Bimix Formula BM3,Papaverine-30mg/Phentolamine-3mg/ML,"INJECTION, SOLUTION",INTRACAVERNOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,PHENTOLAMINE MESYLATE; PAPAVERINE HYDROCHLORIDE,3 mg/1 mL; 30 mg/1 mL,,73198-027-10,"10 mL in 1 VIAL, MULTI-DOSE (73198-027-10) ",2022-2
71286-2010,HUMAN COMPOUNDED DRUG,Hydromorphone HCL 0.2mg/ml in NS,Hydromorphone HCL 0.2mg/ml in NS,SOLUTION,EPIDURAL; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",HYDROMORPHONE HYDROCHLORIDE,.2 mg/1 mL,CII,71286-2010-1,30 mL in 1 SYRINGE (71286-2010-1) ,2023-1
71266-8536,HUMAN COMPOUNDED DRUG,Phenylephrine HCl 1.5%,Phenylephrine 1.5%,INJECTION,INTRAOCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,PHENYLEPHRINE HYDROCHLORIDE,15 mg/1 mL,,71266-8536-1,1 mL in 1 SYRINGE (71266-8536-1) ,2022-2
73693-401,HUMAN COMPOUNDED DRUG,TESTOSTERONE 50MG,TESTOSTERONE 50MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),FARMAKEIO OUTSOURCING LLC,TESTOSTERONE,50 mg,CIII,73693-401-01,"1 PELLET, IMPLANTABLE in 1 POUCH (73693-401-01) ",2024-1
73693-373,HUMAN COMPOUNDED DRUG,ESTRADIOL 10MG,ESTRADIOL 10MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),FARMAKEIO OUTSOURCING LLC,ESTRADIOL,10 mg,,73693-373-01,"1 PELLET, IMPLANTABLE in 1 POUCH (73693-373-01) ",2024-1
26436-5482,HUMAN COMPOUNDED DRUG,ACS,Ampotericin/ Chloramphenicol/ Sulfamethoxazole,POWDER,AURICULAR (OTIC),OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,AMPHOTERICIN B; SULFAMETHOXAZOLE; CHLORAMPHENICOL,60 mg/1 g; 470 mg/1 g; 470 mg/1 g,,26436-5482-5,5 g in 1 JAR (26436-5482-5) ,2023-2
26436-6023,HUMAN COMPOUNDED DRUG,TESTOSTERONE 20%,TESTOSTERONE 20%,CREAM,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,TESTOSTERONE,200 mg/1 g,CIII,26436-6023-3,"30 g in 1 BOTTLE, PUMP (26436-6023-3) ",2024-1
26436-5483,HUMAN COMPOUNDED DRUG,ACH,Ampotericin/ Chloramphenicol/ HC,POWDER,AURICULAR (OTIC),OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,HYDROCORTISONE; AMPHOTERICIN B; CHLORAMPHENICOL,10 mg/1 g; 50 mg/1 g; 500 mg/1 g,,26436-5483-2,20 g in 1 JAR (26436-5483-2) ,2024-1
71285-0209,HUMAN COMPOUNDED DRUG,Modified St. Thomas Formula High K (122 mEq) 1000 mL Bag,Modified St. Thomas Formula High K (122 mEq) 1000 mL Bag,SOLUTION,INTRACORONARY,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",SODIUM CHLORIDE; MAGNESIUM SULFATE HEPTAHYDRATE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; CALCIUM CHLORIDE,100 meq/1000 mL; 29.232 meq/1000 mL; 122 meq/1000 mL; 840 mg/1000 mL; 2.176 meq/1000 mL,,71285-0209-1,1000 mL in 1 BAG (71285-0209-1) ,2022-2
72934-2407,HUMAN COMPOUNDED DRUG,Nuju,211010 TACROLIMUS 0.1% IN PSEUDOCATALASE,CREAM,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,TACROLIMUS,.1 g/100 mL,,72934-2407-2,"30 mL in 1 BOTTLE, PUMP (72934-2407-2) ",2023-2
26436-5228,HUMAN COMPOUNDED DRUG,Biest 2.5mg /gm,Biest 2.5mg /gm,CREAM,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,ESTRIOL; ESTRADIOL,2 mg/1 g; .5 mg/1 g,,26436-5228-3,"30 g in 1 BOTTLE, PUMP (26436-5228-3) ",2023-1
73177-109,HUMAN COMPOUNDED DRUG,Ropivacaine,Ropivacaine,INJECTION,INFILTRATION; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,ROPIVACAINE HYDROCHLORIDE,2 mg/1 mL,,73177-109-14,745 mL in 1 CONTAINER (73177-109-14) ,2024-1
71266-6488,HUMAN COMPOUNDED DRUG,Omnipaque (Iohexol) 300,Iohexol,INJECTION,INTRATHECAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,IOHEXOL,300 mg/1 mL,,71266-6488-3,3 mL in 1 VIAL (71266-6488-3) ,2023-1
72196-0103,HUMAN COMPOUNDED DRUG,Maintenance 4 to1 Low K (20 mEq) 810ml Bag,Maintenance 4 to1 Low K (20 mEq) 810ml Bag,SOLUTION,INTRACORONARY,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.","TRISODIUM CITRATE DIHYDRATE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; ANHYDROUS DEXTROSE; SODIUM CHLORIDE; TROMETHAMINE; POTASSIUM CHLORIDE; DEXTROSE MONOHYDRATE; CITRIC ACID MONOHYDRATE",13.15 g/810 mL; 1.11 g/810 mL; 23.2 g/810 mL; 18.8 meq/810 mL; 7.2 g/810 mL; 20 meq/810 mL; 49.45 g/810 mL; 1.635 g/810 mL,,72196-0103-1,810 mL in 1 BAG (72196-0103-1) ,2023-1
72934-6394,HUMAN COMPOUNDED DRUG,Keya Emulsion,141074 HYDROCORTISONE 0.5% / HYDROQUINONE 6%,EMULSION,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,HYDROCORTISONE; HYDROQUINONE,.5 g/100 mL; 6 g/100 mL,,72934-6394-2,"30 mL in 1 BOTTLE, PUMP (72934-6394-2) ",2023-2
70168-0620,HUMAN COMPOUNDED DRUG,Testosterone Cypionate/Anastrozole 200/1mg/mL,Testosterone Cypionate/Anastrozole 200/1mg/mL,SOLUTION,INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",ANASTROZOLE; TESTOSTERONE CYPIONATE,1 mg/1 mL; 200 mg/1 mL,CIII,70168-0620-1,"10 mL in 1 VIAL, MULTI-DOSE (70168-0620-1) ",2023-1
